"Notes"	"State"	"State Code"	"Year"	"Year Code"	Births	Female Population	Fertility Rate
	"Alabama"	"01"	"2007"	"2007"	64804	958472	67.61
	"Alabama"	"01"	"2008"	"2008"	64546	960680	67.19
	"Alabama"	"01"	"2009"	"2009"	62475	962060	64.94
	"Alabama"	"01"	"2010"	"2010"	60050	960620	62.51
	"Alabama"	"01"	"2011"	"2011"	59354	960184	61.82
	"Alabama"	"01"	"2012"	"2012"	58448	959003	60.95
"Total"	"Alabama"	"01"			369677	5761019	64.17
	"Alaska"	"02"	"2007"	"2007"	11052	141687	78.00
	"Alaska"	"02"	"2008"	"2008"	11442	140747	81.29
	"Alaska"	"02"	"2009"	"2009"	11324	142508	79.46
	"Alaska"	"02"	"2010"	"2010"	11471	143229	80.09
	"Alaska"	"02"	"2011"	"2011"	11456	145873	78.53
	"Alaska"	"02"	"2012"	"2012"	11187	147310	75.94
"Total"	"Alaska"	"02"			67932	861354	78.87
	"Arizona"	"04"	"2007"	"2007"	102981	1246026	82.65
	"Arizona"	"04"	"2008"	"2008"	99442	1259250	78.97
	"Arizona"	"04"	"2009"	"2009"	92798	1262564	73.50
	"Arizona"	"04"	"2010"	"2010"	87477	1262557	69.29
	"Arizona"	"04"	"2011"	"2011"	85543	1271186	67.29
	"Arizona"	"04"	"2012"	"2012"	86441	1281057	67.48
"Total"	"Arizona"	"04"			554682	7582640	73.15
	"Arkansas"	"05"	"2007"	"2007"	41378	569041	72.72
	"Arkansas"	"05"	"2008"	"2008"	40669	569079	71.46
	"Arkansas"	"05"	"2009"	"2009"	39808	568923	69.97
	"Arkansas"	"05"	"2010"	"2010"	38540	569446	67.68
	"Arkansas"	"05"	"2011"	"2011"	38715	570789	67.83
	"Arkansas"	"05"	"2012"	"2012"	38347	572675	66.96
"Total"	"Arkansas"	"05"			237457	3419953	69.43
	"California"	"06"	"2007"	"2007"	566414	7803744	72.58
	"California"	"06"	"2008"	"2008"	551779	7828450	70.48
	"California"	"06"	"2009"	"2009"	527020	7851872	67.12
	"California"	"06"	"2010"	"2010"	510198	7876871	64.77
	"California"	"06"	"2011"	"2011"	502120	7916936	63.42
	"California"	"06"	"2012"	"2012"	503755	7959596	63.29
"Total"	"California"	"06"			3161286	47237469	66.92
	"Colorado"	"08"	"2007"	"2007"	70809	1004684	70.48
	"Colorado"	"08"	"2008"	"2008"	70031	1012966	69.13
	"Colorado"	"08"	"2009"	"2009"	68628	1020625	67.24
	"Colorado"	"08"	"2010"	"2010"	66355	1025085	64.73
	"Colorado"	"08"	"2011"	"2011"	65055	1038317	62.65
	"Colorado"	"08"	"2012"	"2012"	65187	1050616	62.05
"Total"	"Colorado"	"08"			406065	6152293	66.00
	"Connecticut"	"09"	"2007"	"2007"	41660	701587	59.38
	"Connecticut"	"09"	"2008"	"2008"	40399	699195	57.78
	"Connecticut"	"09"	"2009"	"2009"	38896	694930	55.97
	"Connecticut"	"09"	"2010"	"2010"	37708	691265	54.55
	"Connecticut"	"09"	"2011"	"2011"	37281	686640	54.29
	"Connecticut"	"09"	"2012"	"2012"	36539	686665	53.21
"Total"	"Connecticut"	"09"			232483	4160282	55.88
	"Delaware"	"10"	"2007"	"2007"	12170	179779	67.69
	"Delaware"	"10"	"2008"	"2008"	12090	179986	67.17
	"Delaware"	"10"	"2009"	"2009"	11559	179610	64.36
	"Delaware"	"10"	"2010"	"2010"	11364	179232	63.40
	"Delaware"	"10"	"2011"	"2011"	11257	178901	62.92
	"Delaware"	"10"	"2012"	"2012"	11023	179542	61.40
"Total"	"Delaware"	"10"			69463	1077050	64.49
	"District of Columbia"	"11"	"2007"	"2007"	8864	149303	59.37
	"District of Columbia"	"11"	"2008"	"2008"	9130	152846	59.73
	"District of Columbia"	"11"	"2009"	"2009"	9040	157384	57.44
	"District of Columbia"	"11"	"2010"	"2010"	9165	162314	56.46
	"District of Columbia"	"11"	"2011"	"2011"	9295	166081	55.97
	"District of Columbia"	"11"	"2012"	"2012"	9399	170060	55.27
"Total"	"District of Columbia"	"11"			54893	957988	57.30
	"Florida"	"12"	"2007"	"2007"	239165	3578652	66.83
	"Florida"	"12"	"2008"	"2008"	231445	3575057	64.74
	"Florida"	"12"	"2009"	"2009"	221394	3561023	62.17
	"Florida"	"12"	"2010"	"2010"	214590	3560982	60.26
	"Florida"	"12"	"2011"	"2011"	213414	3578464	59.64
	"Florida"	"12"	"2012"	"2012"	213148	3612609	59.00
"Total"	"Florida"	"12"			1333156	21466787	62.10
	"Georgia"	"13"	"2007"	"2007"	151137	2054423	73.57
	"Georgia"	"13"	"2008"	"2008"	146603	2070606	70.80
	"Georgia"	"13"	"2009"	"2009"	141377	2074589	68.15
	"Georgia"	"13"	"2010"	"2010"	133947	2073006	64.61
	"Georgia"	"13"	"2011"	"2011"	132409	2076093	63.78
	"Georgia"	"13"	"2012"	"2012"	130280	2088555	62.38
"Total"	"Georgia"	"13"			835753	12437272	67.20
	"Hawaii"	"15"	"2007"	"2007"	19134	259500	73.73
	"Hawaii"	"15"	"2008"	"2008"	19484	260557	74.78
	"Hawaii"	"15"	"2009"	"2009"	18887	261245	72.30
	"Hawaii"	"15"	"2010"	"2010"	18988	262107	72.44
	"Hawaii"	"15"	"2011"	"2011"	18956	263598	71.91
	"Hawaii"	"15"	"2012"	"2012"	18980	265029	71.61
"Total"	"Hawaii"	"15"			114429	1572036	72.79
	"Idaho"	"16"	"2007"	"2007"	25019	301581	82.96
	"Idaho"	"16"	"2008"	"2008"	25149	304773	82.52
	"Idaho"	"16"	"2009"	"2009"	23737	305968	77.58
	"Idaho"	"16"	"2010"	"2010"	23198	306303	75.74
	"Idaho"	"16"	"2011"	"2011"	22305	308675	72.26
	"Idaho"	"16"	"2012"	"2012"	22963	309836	74.11
"Total"	"Idaho"	"16"			142371	1837136	77.50
	"Illinois"	"17"	"2007"	"2007"	180836	2655310	68.10
	"Illinois"	"17"	"2008"	"2008"	176795	2648509	66.75
	"Illinois"	"17"	"2009"	"2009"	171163	2641171	64.81
	"Illinois"	"17"	"2010"	"2010"	165200	2631753	62.77
	"Illinois"	"17"	"2011"	"2011"	161312	2622664	61.51
	"Illinois"	"17"	"2012"	"2012"	159160	2613073	60.91
"Total"	"Illinois"	"17"			1014466	15812480	64.16
	"Indiana"	"18"	"2007"	"2007"	89864	1297846	69.24
	"Indiana"	"18"	"2008"	"2008"	88742	1295656	68.49
	"Indiana"	"18"	"2009"	"2009"	86673	1290807	67.15
	"Indiana"	"18"	"2010"	"2010"	83940	1287393	65.20
	"Indiana"	"18"	"2011"	"2011"	83701	1287382	65.02
	"Indiana"	"18"	"2012"	"2012"	83227	1286576	64.69
"Total"	"Indiana"	"18"			516147	7745660	66.64
	"Iowa"	"19"	"2007"	"2007"	40886	581579	70.30
	"Iowa"	"19"	"2008"	"2008"	40224	579260	69.44
	"Iowa"	"19"	"2009"	"2009"	39701	577301	68.77
	"Iowa"	"19"	"2010"	"2010"	38719	576692	67.14
	"Iowa"	"19"	"2011"	"2011"	38214	578260	66.08
	"Iowa"	"19"	"2012"	"2012"	38702	579691	66.76
"Total"	"Iowa"	"19"			236446	3472783	68.09
	"Kansas"	"20"	"2007"	"2007"	42004	555015	75.68
	"Kansas"	"20"	"2008"	"2008"	41833	553668	75.56
	"Kansas"	"20"	"2009"	"2009"	41396	553570	74.78
	"Kansas"	"20"	"2010"	"2010"	40649	554584	73.30
	"Kansas"	"20"	"2011"	"2011"	39642	556582	71.22
	"Kansas"	"20"	"2012"	"2012"	40341	557854	72.31
"Total"	"Kansas"	"20"			245865	3331273	73.81
	"Kentucky"	"21"	"2007"	"2007"	59368	863480	68.75
	"Kentucky"	"21"	"2008"	"2008"	58375	861979	67.72
	"Kentucky"	"21"	"2009"	"2009"	57551	856504	67.19
	"Kentucky"	"21"	"2010"	"2010"	55784	854846	65.26
	"Kentucky"	"21"	"2011"	"2011"	55370	855511	64.72
	"Kentucky"	"21"	"2012"	"2012"	55758	851982	65.45
"Total"	"Kentucky"	"21"			342206	5144302	66.52
	"Louisiana"	"22"	"2007"	"2007"	66301	915760	72.40
	"Louisiana"	"22"	"2008"	"2008"	65268	920542	70.90
	"Louisiana"	"22"	"2009"	"2009"	64973	924981	70.24
	"Louisiana"	"22"	"2010"	"2010"	62379	928335	67.19
	"Louisiana"	"22"	"2011"	"2011"	61888	932079	66.40
	"Louisiana"	"22"	"2012"	"2012"	62642	934760	67.01
"Total"	"Louisiana"	"22"			383451	5556457	69.01
	"Maine"	"23"	"2007"	"2007"	14120	252918	55.83
	"Maine"	"23"	"2008"	"2008"	13609	249522	54.54
	"Maine"	"23"	"2009"	"2009"	13470	245110	54.95
	"Maine"	"23"	"2010"	"2010"	12970	241923	53.61
	"Maine"	"23"	"2011"	"2011"	12704	239185	53.11
	"Maine"	"23"	"2012"	"2012"	12798	237226	53.95
"Total"	"Maine"	"23"			79671	1465884	54.35
	"Maryland"	"24"	"2007"	"2007"	78095	1202376	64.95
	"Maryland"	"24"	"2008"	"2008"	77289	1196743	64.58
	"Maryland"	"24"	"2009"	"2009"	75059	1192380	62.95
	"Maryland"	"24"	"2010"	"2010"	73801	1193402	61.84
	"Maryland"	"24"	"2011"	"2011"	73093	1192668	61.29
	"Maryland"	"24"	"2012"	"2012"	72883	1198632	60.81
"Total"	"Maryland"	"24"			450220	7176201	62.74
	"Massachusetts"	"25"	"2007"	"2007"	77967	1358274	57.40
	"Massachusetts"	"25"	"2008"	"2008"	77022	1355631	56.82
	"Massachusetts"	"25"	"2009"	"2009"	75016	1353825	55.41
	"Massachusetts"	"25"	"2010"	"2010"	72865	1350576	53.95
	"Massachusetts"	"25"	"2011"	"2011"	73166	1347056	54.32
	"Massachusetts"	"25"	"2012"	"2012"	72439	1353528	53.52
"Total"	"Massachusetts"	"25"			448475	8118890	55.24
	"Michigan"	"26"	"2007"	"2007"	125261	2009754	62.33
	"Michigan"	"26"	"2008"	"2008"	121127	1973631	61.37
	"Michigan"	"26"	"2009"	"2009"	117294	1938741	60.50
	"Michigan"	"26"	"2010"	"2010"	114531	1918594	59.70
	"Michigan"	"26"	"2011"	"2011"	114008	1904783	59.85
	"Michigan"	"26"	"2012"	"2012"	113091	1896731	59.62
"Total"	"Michigan"	"26"			705312	11642234	60.58
	"Minnesota"	"27"	"2007"	"2007"	73735	1062063	69.43
	"Minnesota"	"27"	"2008"	"2008"	72421	1056396	68.55
	"Minnesota"	"27"	"2009"	"2009"	70646	1050519	67.25
	"Minnesota"	"27"	"2010"	"2010"	68610	1045681	65.61
	"Minnesota"	"27"	"2011"	"2011"	68409	1044201	65.51
	"Minnesota"	"27"	"2012"	"2012"	68772	1046298	65.73
"Total"	"Minnesota"	"27"			422593	6305158	67.02
	"Mississippi"	"28"	"2007"	"2007"	46491	609676	76.26
	"Mississippi"	"28"	"2008"	"2008"	44947	608503	73.86
	"Mississippi"	"28"	"2009"	"2009"	42901	605971	70.80
	"Mississippi"	"28"	"2010"	"2010"	40036	604036	66.28
	"Mississippi"	"28"	"2011"	"2011"	39860	603540	66.04
	"Mississippi"	"28"	"2012"	"2012"	38669	602305	64.20
"Total"	"Mississippi"	"28"			252904	3634031	69.59
	"Missouri"	"29"	"2007"	"2007"	81930	1189397	68.88
	"Missouri"	"29"	"2008"	"2008"	80963	1184136	68.37
	"Missouri"	"29"	"2009"	"2009"	78905	1179940	66.87
	"Missouri"	"29"	"2010"	"2010"	76759	1176684	65.23
	"Missouri"	"29"	"2011"	"2011"	76117	1174879	64.79
	"Missouri"	"29"	"2012"	"2012"	75446	1172699	64.34
"Total"	"Missouri"	"29"			470120	7077735	66.42
	"Montana"	"30"	"2007"	"2007"	12439	180948	68.74
	"Montana"	"30"	"2008"	"2008"	12594	181076	69.55
	"Montana"	"30"	"2009"	"2009"	12257	179917	68.13
	"Montana"	"30"	"2010"	"2010"	12060	179670	67.12
	"Montana"	"30"	"2011"	"2011"	12069	180934	66.70
	"Montana"	"30"	"2012"	"2012"	12118	181884	66.62
"Total"	"Montana"	"30"			73537	1084429	67.81
	"Nebraska"	"31"	"2007"	"2007"	26934	354570	75.96
	"Nebraska"	"31"	"2008"	"2008"	26989	353716	76.30
	"Nebraska"	"31"	"2009"	"2009"	26936	354073	76.07
	"Nebraska"	"31"	"2010"	"2010"	25918	355031	73.00
	"Nebraska"	"31"	"2011"	"2011"	25720	357237	72.00
	"Nebraska"	"31"	"2012"	"2012"	25942	358575	72.35
"Total"	"Nebraska"	"31"			158439	2133202	74.27
	"Nevada"	"32"	"2007"	"2007"	41181	538777	76.43
	"Nevada"	"32"	"2008"	"2008"	39506	548040	72.09
	"Nevada"	"32"	"2009"	"2009"	37612	549912	68.40
	"Nevada"	"32"	"2010"	"2010"	35934	549924	65.34
	"Nevada"	"32"	"2011"	"2011"	35296	549361	64.25
	"Nevada"	"32"	"2012"	"2012"	34911	554337	62.98
"Total"	"Nevada"	"32"			224440	3290351	68.21
	"New Hampshire"	"33"	"2007"	"2007"	14168	261089	54.27
	"New Hampshire"	"33"	"2008"	"2008"	13683	257338	53.17
	"New Hampshire"	"33"	"2009"	"2009"	13377	253121	52.85
	"New Hampshire"	"33"	"2010"	"2010"	12874	250133	51.47
